insumo,categoria,unidad_base,alias
ACEITE CRISOL X20 LT,ABARROTES,und,( INSUMO ) ACEITE CRISOL X20 LT UNIDAD
ACEITE CRISOL X20 LT,ABARROTES,und,ACEITE CRISOL X20 LT UNIDAD
ACEITE DE AJONJOLI,ABARROTES,L,( INSUMO ) ACEITE DE AJONJOLI BOTELLA
ACEITE DE AJONJOLI,ABARROTES,L,( INSUMO ) ACEITE DE AJONJOLI UNIDAD
ACEITE DE AJONJOLI,ABARROTES,L,ACEITE DE AJONJOLI BOTELLA
ACEITE DE AJONJOLI,ABARROTES,L,ACEITE DE AJONJOLI UNIDAD
ACEITE DE OLIVA,ABARROTES,L,( INSUMO ) ACEITE DE OLIVA LITRO
ACEITE DE OLIVA,ABARROTES,L,ACEITE DE OLIVA LITRO
ACEITE VEGETAL 900ML,ABARROTES,L,( INSUMO ) ACEITE VEGETAL 900ML LITRO
ACEITE VEGETAL 900ML,ABARROTES,L,ACEITE VEGETAL 900ML LITRO
ACEITUNA,ABARROTES,kg,( INSUMO ) ACEITUNA KILOS
ACEITUNA,ABARROTES,kg,ACEITUNA KILOS
AGUA,BAR,L,( INSUMO ) AGUA LITRO
AGUA,BAR,L,AGUA LITRO
AGUA TONICA,BAR,und,( INSUMO ) AGUA TONICA UNIDAD
AGUA TONICA,BAR,und,AGUA TONICA UNIDAD
AJI AMARILLO,VERDURAS,kg,( INSUMO ) AJI AMARILLO KILOS
AJI AMARILLO,VERDURAS,kg,AJI AMARILLO KILOS
AJI LIMO,VERDURAS,kg,( INSUMO ) AJI LIMO KILOS
AJI LIMO,VERDURAS,kg,AJI LIMO KILOS
AJI MIRASOL,VERDURAS,kg,( INSUMO ) AJI MIRASOL KILOS
AJI MIRASOL,VERDURAS,kg,AJI MIRASOL KILOS
AJI PANCA,VERDURAS,kg,( INSUMO ) AJI PANCA KILOS
AJI PANCA,VERDURAS,kg,AJI PANCA KILOS
AJICERO 02 ONZAS,DESCARTABLES,und,( INSUMO ) AJICERO 02 ONZAS UNIDAD
AJICERO 02 ONZAS,DESCARTABLES,und,AJICERO 02 ONZAS UNIDAD
AJINOMOTO,ABARROTES,kg,( INSUMO ) AJINOMOTO KILOS
AJINOMOTO,ABARROTES,kg,AJINOMOTO KILOS
AJO,VERDURAS,kg,( INSUMO ) AJO KILOS
AJO,VERDURAS,kg,AJO KILOS
AJONJO BLANCO,ABARROTES,kg,( INSUMO ) AJONJO BLANCO KILOS
AJONJO BLANCO,ABARROTES,kg,AJONJO BLANCO KILOS
ALCOHOL 70%,OPERATIVO,und,( INSUMO ) ALCOHOL 70% UNIDAD
ALCOHOL 70%,OPERATIVO,und,ALCOHOL 70% UNIDAD
ALMEJA DOCENA,PESCADOS Y MARISCOS,und,( INSUMO ) ALMEJA DOCENA
ALVERJA,VERDURAS,kg,( INSUMO ) ALVERJA KILOS
ALVERJA,VERDURAS,kg,ALVERJA KILOS
